Time_s,full_timbre_Hz,nicki_timbre_Hz,ariana_timbre_Hz
74.6698,226.376999999999,0.0,226.376999999999
75.1746,145.769999999999,0.0,145.769999999999
75.41887,250.99,0.0,250.99
75.6039,254.087999999999,0.0,254.087999999999
76.24807,91.335,0.0,91.335
76.79986,83.705,0.0,83.705
76.99637,48.9669999999999,0.0,48.9669999999999
77.09596,95.0959999999999,0.0,95.0959999999999
77.32236,-33.2249999999999,0.0,-33.2249999999999
77.45596,154.632999999999,0.0,154.632999999999
77.87973,145.444,0.0,145.444
78.17596,85.1639999999999,0.0,85.1639999999999
78.42585,125.364,0.0,125.364
78.66413,174.984,0.0,174.984
78.76825,99.75,0.0,99.75
78.94902,109.81,0.0,109.81
79.21605,-13.494,0.0,-13.494
79.44481,40.824,0.0,40.824
80.36934,52.397,0.0,52.397
80.51519,158.912,0.0,158.912
80.58576,192.039,0.0,192.039
81.58404,-29.866,0.0,-29.866
81.70517,130.249,0.0,130.249
81.9541,33.906,0.0,33.906
82.62118,-127.084999999999,0.0,-127.084999999999
82.77551,-5.93899999999997,0.0,-5.93899999999997
83.24263,184.483,0.0,184.483
83.53302,117.725999999999,0.0,117.725999999999
83.73719,37.122,0.0,37.122
84.21905,-81.055,0.0,-81.055
84.44567,-69.841,0.0,-69.841
84.70045,32.2959999999999,0.0,32.2959999999999
84.81542,47.58,0.0,47.58
85.46771,74.596,0.0,74.596
85.71039,141.145,0.0,141.145
85.90249,-12.9479999999999,0.0,-12.9479999999999
86.15206,136.744,0.0,136.744
86.52948,247.387,0.0,247.387
86.78458,124.791999999999,0.0,124.791999999999
86.99379,91.451,0.0,91.451
87.53302,219.494999999999,0.0,219.494999999999
87.81188,218.166999999999,0.0,218.166999999999
88.00952,154.143,0.0,154.143
88.43302,151.869999999999,0.0,151.869999999999
88.65918,250.06,0.0,250.06
89.06059,86.7529999999999,0.0,86.7529999999999
89.2054,156.862999999999,0.0,156.862999999999
89.76249,32.258,0.0,32.258
89.90739,-1.75099999999999,0.0,-1.75099999999999
90.16372,-17.516,0.0,-17.516
90.36671,93.8089999999999,0.0,93.8089999999999
90.47084,104.156,0.0,104.156
91.23692,51.85,0.0,51.85
91.37075,79.112,0.0,79.112
91.81202,213.423,0.0,213.423
92.15465,224.647,0.0,224.647
92.30444,161.361,0.0,161.361
93.12349,-9.50099999999999,0.0,-9.50099999999999
93.36748,14.877,0.0,14.877
93.54259,141.850999999999,0.0,141.850999999999
93.85025,-24.483,0.0,-24.483
94.00671,73.2269999999999,0.0,73.2269999999999
